image_filename,line_text,type,writer
hand_3517_line_6.png,እንደማይመሩት  ፣ የአስተዳደር  ጉዳዮች  ዘርፍ  ምክትል  ዋና ሥራ  አስኪያጁ  አቶ ልዑል  ሰገድ  ግርማ  ደግሞ  በማያ,handwritten,79
hdd_18_test_18th_13441.png,ወኢትሚጥ፡ባሄከ፡እም                                   ,hdd_18,
synth_image_10407_3.png,ተሰናባቹ ጠሚኒስትር ተው ስላሏቸው ምፕረዝደንት አድረገው ሾመው አሁንም በስልጣን ላይ እንዳለ ይታወቃል በሶዶ ዩንቨርሲቲ የአሿሿም ሁኔታ ግን ለማንም ግልጽ ነው,synthetic,
hdd_rand_test_rand_00584.png,ድቁ፡በረኩናት፡ወይነጽሑ፡                                ,hdd_rand,
hdd_18_test_18th_06751.png,፡ወአጽገበኪ፡ቄቅሐ፡ሥርናይ፡                              ,hdd_18,
typed_537_line_4.png,"እስካለሁ  አማርኛና  ታሪክ  አይከፈትም  ብለዋል  የሚል  ስሞታ  በደብዳቤው  ቀርቧል  አማርኛና  ታሪክ  መደበኛ  የዲግሪ  ፕሮግራም  አለን።  ይህንን  
",typed,
hand_587_line_4.png,"አመት  ጥርጣሬ  - ፍርሃት  የሚሉት  ቅዠት  ቬኒስን  ራስዋን  አንቀጥቅጦ  ሲገዛት የኖረ  መሆኑ  ነው።  ኢየሱስ  
",handwritten,568
typed_2758_line_5.png,"ጥላ ማቡካቱን  የተሰቀቀችው  እናቱ  ወንዝ  አጠገብ  ጥላው  እግዚአብሔር  ፈቅዶ  በፈርዖኑ  ልጅ ተወስዶ  በቤተ  መንግሥቱ  ግቢ ካደገ  በኋላ  እሱ 
",typed,
hand_763_line_9.png," እና ቅስቀሳ  እያደረገ  መሆኑን  አረጋግጠናል  ፤። ጾመ ነቢያት  የሚባለው  ጾመ ገና 
",handwritten,483
typed_4235_line_7.png,"አንዳንዱም መሀል ገብቶ የወጣ በቆሎ ትምህርት ቤት ቅኔ ድጓውንና ጸዋትወ ዜማውን ሳይቀር ለመማር ሄዶ ውሻ የጮኸበት ነው አንዳንዱም
",typed,
typed_3903_line_2.png,"የማይገባው  ስለ ሆነ በዓሉ  ከመድረሱ  በፊት  የሲኖዶሱ  አባላት  በአስቸካይ  ተሰብስበው  ሕጉን  ካልሻሩና  በጣዖትነት  የተሰየሙትን  አቡነ  ጳውሎስን  
",typed,
typed_4124_line_2.png,"የአምላካችን የእግዚአብሔር ምሕረቱ በዝቶ ሙታን ሳለን ሕያዋን ሆንን ከጠፋንበት ተገኘን ኤፌሶን ፪ ፥ ፬ እና ፭ አሁንም እግዚአብሔር የነፍስን
",typed,
synth_image_149975_0.png,ነበር እንደውም ከስራ ዓለም ወጥቼ ወደ ንግዱ የገባሁትም የተሻለ ገንዘብ ይዤ ትምህርቴን ለመቀጠል ነበር በደሞዝ ያንን ማድረግ እንደማልችል በማሰብ በ,synthetic,
typed_3919_line_8.png,ማርያም  ዜና መዋዕል  ተጠቅሶ  ይገኛል  [ 4 ]።,typed,
hdd_18_test_18th_04160.png,ወአኀሥሮ፡ለዕቡይ፡ወይጽናሕ፡                              ,hdd_18,
hdd_18_test_18th_15082.png,ተፈሥሒ፡አምልዕተ፡ጸ                                   ,hdd_18,
hand_779_line_1.png,"﻿ህዝባችን  ያለ ድምፂ  ወያኔ  ሬድዮ  ሌላ እንዳይሰማ  የተነፈገ  መሆኑ  ህወሓት  የፈጠረለትን  ችግር
",handwritten,478
hand_2846_line_4.png,"ለመጀመርያ  ጊዜ ለማዘጋጀት  የቻለው  ተጨዋቾች  ያላቸውን  በይፋ  የሚታወቅ  ሃብትና
",handwritten,322
hdd_rand_test_rand_04443.png,ወባሕቱ፡ማየ፡ብዙኃ፡ኢይቀርብ፡ኀቤከ                          ,hdd_rand,
hand_314_line_7.png,"፣ ትሕትናን  ፣ ገርነትንና  ትዕግሥትን  ልበሱ።  በዚህም  መሰረት  የአክሱም  ፂዮን  ማርያም  ቤተክርስቲያን  ጥገናን 
",handwritten,229
hdd_18_test_18th_04907.png,ወበኀቤከሰ፡ኢይቀርቡ፡ወባሕቱ፡ትሬኢ፡                         ,hdd_18,
typed_1750_line_6.png,"ሲሆን  በመጨረሻም  ኡጋንዳዊው  ጆሹዋ  ኪፕሩዪ  28 ፡ 32 .። የዝም  በል ዳያስጶራ  አዋጅ  ፦ ከቤተ  መንግሥት  እስከ  ቤተ እምነት።  በዚሁ  ጥሪ መሰረት  
",typed,
hdd_18_test_18th_02432.png,ኢየሱስ፡ወአኅዘ፡በአጺ፡ወተንሥአ                            ,hdd_18,
hand_4270_line_8.png,ሳናይ ያደግን ፣ በከተማ ወንዞች የዋኘን ፣ ኢንተርኔት ሳናይ ብሎግ ሳናነብ ፣ ዌብ ሳይት ሳናገላብጥ፣,handwritten,531
hand_3525_line_6.png,"ውድቅ  ማድረጉን  ተጫዋቾቹም  አይወክለንም  ባሉት  ወኪል  ስር ካልሆኑ  በቀር  በመጪው  ቅዳሜ
",handwritten,43
hdd_18_test_18th_02712.png,ወዮጌቅቤ፡ተሰብሖ፡በእንተት፡ጽድቀ፡ኦሪት፡ይትፈጸም፡በስዕዲ            ,hdd_18,
typed_3049_line_6.png,"የጋዜጣዋን  መታገድ  ተከትሎ  ዋና አዘጋጇ  ተመስገን  ደሳለኝ  የከለከለኝ  በህወሓት  ውስጥ  የበላይነት  እየያዘ  የመጣው  ቡድን  ነው ይላል  ፤ ያም ሆነ ይህ 
",typed,
hdd_rand_test_rand_06177.png,ልሱቃስ፡፻፹፪እመ                                     ,hdd_rand,
hdd_rand_test_rand_01529.png,ነን፡ዘነግህ፡ዳዊት፡፻፵፬                                ,hdd_rand,
hand_443_line_6.png,"ኤጀንሲ  በአቶ  ደብረፂዮን  ጭምር  በበላይነት  እንደሚመራና  አቶ ሃ / ማሪያም የሚያውቁት  
",handwritten,568
hand_3199_line_3.png,"ከተሰጡት ቁርጠኝነት የተሞላባቸው ድምጾች ውጪ የተለያዩ መፈክሮች ፣ 
",handwritten,212
hdd_rand_test_rand_02061.png,ትእዛዙ፡ለልዑል፡ልኝ፡ለአማሰኖ                             ,hdd_rand,
typed_2760_line_7.png,እግዚአብሔር  ቸር ነው በማለት  ስለ ርኅራኄው  ስንናገር  በኃጢአት  ምክንያት  የሚያስከትለውን  የፀና  ፍርዱን  አቋርጧል  ማለት  አይደለም።,typed,
typed_735_line_2.png,"ሕመም  የሞተችውን  ሰርቢያዊቷን  ናዳን  ያስታውሳቸዋል።  የህወሓት  ፋሽስት  ጦር በበደኖ  ፣ በአዋሳ  ፣ በሀረር  ፣ በጋምቤላ  ፣ በጎንደር  ፣ በኦጋዴን  ፣ 
",typed,
hdd_rand_test_rand_00155.png,ስ፡ወየው፡የመቢቴ፡ም                                   ,hdd_rand,
synth_image_108191_1.png,ኣርድእቲ ኮይኑ ሃገር ስብከቱ ድማ ግብጺ እዩ ዝሰብከሉ ዝነበረ ቋንቋ ድማ ሮማይስጥ እዩ ቅዱስ ማርቆስ ናብታ ሃገረ ስብከቱ ዝኾነት ግብጺ,synthetic,
synth_image_15596_1.png,ይፋ የመለቀቁ ነገር ዝም እንደተባለ ነው ምዝገባውና መዝገቡ በፌዴራልና በክልል ደረጃ የሚገኙ ተሿሚዎችን ሚኒስትሮችንና ግለሰቦችን በሙሉ የሚመለከት ነበር::,synthetic,
synth_image_69735_0.png,ማንም ኤጲስ ቆጶስነትን ቢፈልግ መልካምን ሥራ ይመኛል የሚለው ቃል የታመነ ነው::,synthetic,
hdd_rand_test_rand_05175.png,ኢተመይጠት፡መዓቱ፡ናጺ                                  ,hdd_rand,
hand_516_line_1.png,﻿በዚህም  ሳቢያ  ሴቷ መሠረታዊ  ሰብዓዊ  ፣ ዲሞክራሲያዊና  ግላዊ  መብቶቿ  ፡ - አካላዊና  ሥነ ልቦናዊ,handwritten,111
typed_1974_line_5.png,"ቅርሶቻችንን  ፣ የሰው  ኀይል  ሀብታችንን  ፣ የፋይናንስ  አቅማችንንና  ሌሎች  ጥሪቶቻችንን  በዐይነትም  በመጠንም  ለይቶ  ዐውቆ  ለመቆጣጠር  ፣ 
",typed,
hdd_rand_test_rand_02647.png,ቁ፡ወጸመ፡እግዜእነ፡፵መዓ                                ,hdd_rand,
hand_1687_line_8.png,"መንስዔው  ይኼው  17 ዓመት  ሙሉ  የተጠራቀመው  ሕገ ወጥ  አሠራር  ነው።  ይኼ
",handwritten,364
hdd_18_test_18th_07920.png,ወኪሩቤል፡ይሰግዱ፡ወ፡ዋሕዶ፡ወተሰብ                          ,hdd_18,
hdd_18_test_18th_04583.png,ወደቂቀ፡ልዑል፡ኩልክሙ፡                                 ,hdd_18,
hdd_rand_test_rand_05771.png,ዚአብሔር፡ዓውዶሙ፡ክ                                   ,hdd_rand,
typed_2989_line_1.png,"በርግጥ  አቶ ኣባይ  መመሪያ  ሊሰጧቸው  ተዘጋጅተውባቸዋል  በተባሉት  ቅዱስነታቸው  ምትክ  እዚያው  በቆሙበት  በአልፎ  ሂያጅ  ካገኟቸው  ሁለት  
",typed,
hand_2990_line_2.png,"ምእመናን  ስለ ተለያዩ  ሰማዕታት  ያስተማራቸውን  ትምህርት  ከአኹኑ  ኢትዮጵያውያን  ሰማዕታት
",handwritten,225
hand_2579_line_1.png,"እስቲ  ጥቂት  ጥያቄዎች  ልጠይቃችሁ  2 ) ማነው  በቤተክርሲቲያናችሁ  ውስጥ  የበግ  ለምድ  ለብሼ  ገብቼ  
",handwritten,569
hand_3553_line_3.png,"ከምለቅ  ሦሪያ  ከነሕዝቧ  እንጦርጦስ  ትውረድ  > ብሎ  የቆረጠው  የመለስ  የባሕርይ  ወንድም
",handwritten,81
synth_image_54385_8.png,አንጎላችሁ እንዲሠራ በቻይና አኩምፓንክቸርም ቢሆን ወጋ ወጋ አድርጉት አኩፕሬዠርንም ጨምሩበትና ዓይነ ኅሊናችሁን አሸት አድርጉ ምናልባት የምትሠሩት ግፍ የሚያስከትልባችሁ የኋላ ጠንቅ,synthetic,
hdd_18_test_18th_01824.png,ት፡ዘእምአያሁደ፡ወእመሄ፡ኮነ፡እመንቱ፡ዘእኮ፡እንተ                 ,hdd_18,
synth_image_104924_0.png,አስተናጋጇ ቡናውን ልታመጣ ስትሄድ ምን ሆና ነው የዘገየችው ሲል ሚስቱን አሰበ ምሳ ከበሉ በኋላ የሴቶች ፀጉር ቤት እንደምትሄድ ነግራው እዚህ,synthetic,
synth_image_140080_1.png,ለመጡ ፳፰ የመጀመሪያ ተማሪዎች የትምህርት አገልግሎት መስጠቱን ጀመረ::,synthetic,
hdd_18_test_18th_08506.png,ዘተሰብኣ፡እምኔኪ፡ዓዛሃ፡ሠናይ፡እንተሠ                        ,hdd_18,
synth_image_68392_2.png,ተሳታፊ ይሆናል የአፍሪቃ ሰባት ምርጥ ቡድኖች ከየካቲት ቀን ዓም እስከ መጋቢት ቀን ዓም የሚኪያሄደው ውድድር ላይ ለመሳተፍ አዘጋጇ ዛምቢያን ይቀላቀላሉ,synthetic,
synth_image_155223_0.png,የምርት ክፍል ምክትል ኃላፊ የውጭ ገጠማ ሥራዎች ቡድን መሪ የውጭ ገጠማ ሥራዎች አናጺ የእንጨት ሥራ ምርቶች አናጺ ረዳት አናጺ::,synthetic,
hdd_18_test_18th_01273.png,ዕፆ፡ወይሁበነ፡ተናግሮ፡ምሥጢሩ                             ,hdd_18,
typed_788_line_3.png,"ወደሥልጣን  ይመለሳል  ማለት  ዘበት  ነው - የበረከት  ቅዠት  ካልሆነ  በስተቀር  ; ከመስከረም  በፊት  ወደሥራ  ይመለሳል  የተባለውንም  ልናይ  ነው < 
",typed,
synth_image_53389_0.png,ሕግ ሕገ ወጥ ሲሆን ምን ይደረጋል ይኄይስ እውነቱ::,synthetic,
hdd_rand_test_rand_03611.png,ፍዙነ፡ላከመ፡የውሃትየ፡ንሖልቅ፡እከ፡ለኃጥአን                    ,hdd_rand,
hdd_rand_test_rand_03819.png,ለምንት፡ገደፍከ፡ነእግዚኦ፡ስብሉፉ                           ,hdd_rand,
typed_2750_line_2.png,"እየሰማሁ  ዝም  ማለት  አልቻልኩም  ፤ ባይሆን  ዘወር  ብዬ ሼሁን  አያቸው  ዘንድ  ልቤ ፈቀደ  ፣ ( ሼሁን  በቅርብ  እርቀት  የማያቸው  እኔ ማን ነኝ ?። አንዲት  
",typed,
hdd_18_test_18th_11645.png,ደቂጽዕ፡እንስ፡እስመ፡እም                                ,hdd_18,
hand_802_line_6.png,"በጣም  ርካሿ  ነበረች።  ኢትዮጵያ  የምትባል  አገርም  ትናንትና  ያልነበረች  ከ፻ ዓመት  በፊት 
",handwritten,430
synth_image_74554_0.png,በሜክሢኮም የአምራቹ ሠራተኛ ገቢ ከ እስከ ከመቶ ሲቀንስ እስካሁን ያገገመው በጥቂቱ ብቻ ነው በአጠቃላይ የናፍታ ውል ከጸና ወዲህ በድህነት የሚኖረው,synthetic,
synth_image_68802_0.png,ይህ ጽሑፍ ከሦስት ዓመታት በፊት ወያኔ በአማራ ተወላጆች ላይ ከመዠንግር ተወላጆች የተቃጣ የተፈጸመ ጥቃት አስመስሎ በፈጸመው ጭፍጨፋ ወይም የጅምላ ግድያ,synthetic,
hdd_18_test_18th_01658.png,ኢየገበብክሙት፡ውሰተ፡እፈ፡ዘቂቲክሙ፡አመ፡በሰሙ፡በክርስቶ             ,hdd_18,
hdd_18_test_18th_06190.png,አሐዝብ፡ሕያዋኒነ፡እምውኅጡነ።                             ,hdd_18,
hdd_rand_test_rand_02935.png,አጊተሰ፡አገቱኒ።ወብሰመ፡እግዚአብሔር፡ሞአከዎሙ።                  ,hdd_rand,
hdd_rand_test_rand_00595.png,ቤሃ፡አምጽእዎ፡ወቆመ፡ህልት፡ተአምሪ፡አንቲ፡                     ,hdd_rand,
hdd_18_test_18th_14501.png,ቄ፡ሰንባር፡ትሐነጽ፡ወበመ                                ,hdd_18,
synth_image_139405_1.png,ሠነየ ጸበ ወቀበ ሓድሽ መልክዕ ኣውጽአ ይብሎ ብተወስኺ ሰነየ ምዕጻፍ ክልተምጋብር ምድራብ ብመልክዕ ብባህርይ ምያር ካልእ ምዃን ምምሳል ኢሉ ይገልጾ,synthetic,
hand_2638_line_3.png,"ዠርመኑ ኢብራሞቪች በ 47 ሚሊዮን ፓውንድ ፤ ሪቫልዶ በ 45 .5 ሚሊዮን ፓውንድ ፤ የማን 
",handwritten,356
hdd_18_test_18th_06154.png,የማነ፡እዴሁ።መዓልተ፡ፀሐይ፡ኢያውዒከ።                        ,hdd_18,
hdd_rand_test_rand_03962.png,ርን፡፻፫፡ዘይረስዩ                                    ,hdd_rand,
synth_image_99473_0.png,ፕረዚደንት ደቡብ ሱዳን ኣብ ኢትዮጵያ ወግዓዊ ናይ ስራሕ ምብጻሕ ፈጺሙ::,synthetic,
typed_4222_line_6.png,"በአስተያየት መለክ በዲያስፖራው የተሳካ የፖለቲካ ውጤት ያለው ትግል ለማምጣት አንዱና ተፈላጊው ሰው ዶክተር ታዬ ናቸው ብዬ ነበር ;;
",typed,
hdd_rand_test_rand_04555.png,ጺራ፡አእኰተቶ፡ለወ                                    ,hdd_rand,
typed_19_line_4.png,"አገሮች  ግን አንጿ  ናት ተብሏል።  አዲስ  አበባ  ከተመለሰች  በኋላ  ልጇን  የምታሳድግላት  ሴት አግኝታ  ልጇን  በመስጠት  ወደ አዲስ  ራዕይ  ማሰልጠኛ  
",typed,
typed_1235_line_6.png,"አንዳርጋቸው  ፣ ከአዲሱ  ተመራጭ  አብዱልከሪም  እና ከቢያድግልኝ  ኤልያስ  ማንን  እንደሚያሰልፉ  እና እንዲሁም  በጉዳት  እና በቅጣት  ያጧቸውን  
",typed,
hdd_rand_test_rand_03163.png,ወሰረይ፡ሌተ፡ኩሎ፡ኃጢአትየ፡እስመ፡ብዙኃ፡ውእቱ                   ,hdd_rand,
hand_3468_line_9.png,አሁን  በእናንተ  ዘንድ  ሆኜ ድምፄን  ልለውጥ  በወደድሁ።,handwritten,86
hand_3749_line_6.png,"የማለዳ  ዎፍ በመንፈሰ  - እግዚአብሔር  ተቃኝቶ  የሚኾነውን  ኹሉ  ከመኾኑ  አስቀድሞ  የመናገርን  ፤ ያንኑም  
",handwritten,504
synth_image_150504_1.png,እያየ የተናገረው ነው ሳያዩት የሚያይ ሳይሰሙት የሚሰማ ለእያንዳንዱ ሰው እቅድ ያለው አምላክ ነው ጌታ አስቦ እንዲያስብላቸው አዝኖ እንዲያዝንላቸው ፊልጶስን እየቀሰቀሰው,synthetic,
typed_1704_line_6.png,"የተገራዧን  የወሲብ  ፍላጎት  ይጎዳል  ፣ በወሊድ  ጊዜም  ለችግር  ይዳርጋታል  በማለት  ነበር።  ሴቷ ከላይ  ( ወንዱ  በጀርባው  ይተኛል  ፣ ሴቷ ከላይ  ሆና 
",typed,
hand_832_line_2.png,"ተደርጎ  በገንዘብ  ያዡ አማካይነት  በሞዴል  ፮ ተጠይቆ  ወደ ባንክ  ገቢ እንደሚደረግ  ይታወቃል።  
",handwritten,494
hand_837_line_9.png,ሩሲያ  : አፕሄቭል  ኤንድ  ዘ ፑቲን  ሲስተም  በሚለው  መፅሃፋቸው  ቭላድሚር ፑቲንን  እልኸኛ,handwritten,481
hdd_18_test_18th_03074.png,ይቤዙ፡                                           ,hdd_18,
hdd_rand_test_rand_02394.png,መሮ፡ዉአተም                                        ,hdd_rand,
typed_346_line_6.png,"ዲሞክራሲያዊ  ሁኔታ  ከመዞር  አንስቶ  የታጠቀውን  መንግሥታዊ  ኃይል  በገዢና  በአማፂ  ወገን  / ወገኖች  እየተቋረሱ  ፣ ጦሱ  ለብሔር  የሚተርፍና  
",typed,
hand_1037_line_11.png,ፍርደ  ገምድሉ  ዳኛ ልዑል  ገ / ማርያም  ንፁኁን  ዜጋ ቴዲ አፍሮን,handwritten,181
synth_image_86229_0.png,እነዚህ የይስሙላ ሥልጣን ናፋቂ ድርጅቶች በሃገራችን አብዮት ቢነሳ አደገኝነታቸው የጎላ ነው የኢትዮጰያ ሕዝብ እንደ ግብጽ ሕዝብ አንድ ላይ ሊቆም ይችላል,synthetic,
synth_image_85997_0.png,ጎ ወይም በቻይንኛ ወይጪ እጅግ ጥንታዊ የሠንጠረዥ አይነት ጨዋታ ነው በአፈታሪካዊ ልማድ በኋሥያ ንጉሥ ያው ልጁን ዳንዡ ለማስደሰት ተፈጠረ በሠንጠረዥ,synthetic,
hand_1151_line_5.png,"የቤኒን  ሪፐብሊክ  ፕሬዝዳነትና  የወቅቱ  የአፍሪካ  ህብረት  ሊቀመንበር  ቦኒ ያዪ የጠቅላይ  ሚኒስትሩ  ተግባራት
",handwritten,302
hdd_rand_test_rand_06273.png,እስመ፡ኅቤከ፡እጼሊ፡እግዚኦ                               ,hdd_rand,
hdd_18_test_18th_03613.png,እመኒ፡ርኢከ፡ሠራቄ፡ትረውጽ፡ምስሌሁ፡                         ,hdd_18,
typed_2965_line_6.png,"ለእናንተና  ለዓለሙ  ሁሉ ደስታ  የሚሆን  ታላቅ  የምሥራች  እነግራችኋለሁና  ሉቃ ፪ ፥ ፲ አላቸው  ፣ የሰው  ልጆች  ሁሉ ደስታ  የሆነ  የጌታን  መወለድም  
",typed,
hdd_18_test_18th_08867.png,ነፊሆሙ፡እልክቱ፡ይከ                                   ,hdd_18,
synth_image_34988_1.png,የብሪታኒያን ብሔራዊ ሙዚየም ሳታዪ መሔድ የለብሽም::,synthetic,
hdd_18_test_18th_12359.png,ሙ፡ለነ፡ወሰልዋሮስ፡ወጣ፡ሞቲዋስ                            ,hdd_18,
typed_650_line_2.png,"ተገርመው  ሊሆን  እንደሚችል  አስብ።  ቀጥሎም  የዩናይትድ  ስቴትስ  ቤቴል  አባል  የሆነው  ሊዮናርድ  ፒርሰን  ከኮንጎ  ዲሞክራቲክ  ሪፐብሊክ  ፣ ከፓፑዋ  
",typed,
hdd_rand_test_rand_03995.png,፷ፈ፡መኑ፡እንጋ፡ውእቱ፡ይገብ                              ,hdd_rand,
typed_3784_line_5.png,"በአፍሪካ  አህጉር  በግዙፍነቱ  ተወዳዳሪ  የሌለው  ሲሆን  በታዋቂው  ሩስያዊ  ቀራፂ  ዲሚትሪ  ኩኮለስ  ተቀርፆ  በሞስኮ  ይገኛል።  አባት  የሌለው  ልጅ ሆኜ 
",typed,
hdd_rand_test_rand_01040.png,ሙ፡እምአይቴ፡ው፡ዘለሊከ፡ዘኃጢአት                           ,hdd_rand,
hdd_18_test_18th_00543.png,ሒ፡እሙንታ፡እሰመኢከኑ፡መ                                ,hdd_18,
